SET 0
Alphabet, nil, nil, Alp
Bronze Working, nil, nil, Bro
Ceremonial Burial, nil, nil, Cer
Horseback Riding, nil, nil, Hor
Masonry, nil, nil, Mas
Pottery, nil, nil, Pot
Warrior Code, nil, nil, War

SET 1
Code of Laws, Alp, nil, CoL
Currency, Bro, nil, Cur
Map Making, Alp, nil, Map
Mysticism, Cer, nil, Mys
The Wheel, Hor, nil, Whe
Writing, Alp, nil, Wri

SET 2
Astronomy, Mys, Mat, Ast
Construction, Mas, Cur, Cst
Engineering, Whe, Cst, Eng
Literacy, Wri, CoL, Lit
Literacy, Wri, CoL, Lit
Monarchy, Cer, CoL, Mon
Philosophy, Mys, Lit, Phi
The Republic, CoL, Lit, Rep
Seafaring, Map, Pot, Sea
Trade, Cur, CoL, Tra
Trade, Cur, CoL, Tra

SET 3
Banking, Tra, Rep, Ban
Banking, Tra, Rep, Ban
Banking, Tra, Rep, Ban
Bridge Building, Iro, Cst, Bri
Communism, Phi, Ind, Cmn
Engineering, Whe, Cst, Eng
Feudalism, War, Mon, Feu
Invention, Eng, Lit, Inv
Invention, Eng, Lit, Inv
Invention, Eng, Lit, Inv
Medicine, Phi, Tra, Med
Medicine, Phi, Tra, Med
Medicine, Phi, Tra, Med
Monotheism, Phi, PT, MT
Navigation, Sea, Ast, Nav
Navigation, Sea, Ast, Nav
Philosophy, Mys, Lit, Phi
Philosophy, Mys, Lit, Phi
Physics, Nav, Lit, Phy
Physics, Nav, Lit, Phy
The Republic, CoL, Lit, Rep
The Republic, CoL, Lit, Rep
Sanitation, Med, Eng, San
Theory of Gravity, Ast, Uni, ToG
University, Mat, Phi, Uni

SET 4
Amphibious Warfare, Nav, Tac, Amp
Amphibious Warfare, Nav, Tac, Amp
Atomic Theory, ToG, Phy, Ato
Atomic Theory, ToG, Phy, Ato
Atomic Theory, ToG, Phy, Ato
Banking, Tra, Rep, Ban
Banking, Tra, Rep, Ban
Chemistry, Uni, Med, Che
Chemistry, Uni, Med, Che
Chemistry, Uni, Med, Che
Chemistry, Uni, Med, Che
Chivalry, Feu, Hor, Chi
Communism, Phi, Ind, Cmn
Communism, Phi, Ind, Cmn
Democracy, Ban, Inv, Dem
Democracy, Ban, Inv, Dem
Democracy, Ban, Inv, Dem
Democracy, Ban, Inv, Dem
Democracy, Ban, Inv, Dem
Democracy, Ban, Inv, Dem
Economics, Uni, Ban, Eco
Economics, Uni, Ban, Eco
Economics, Uni, Ban, Eco
Economics, Uni, Ban, Eco
Espionage, Cmn, Dem, Esp
Flight, Cmb, ToG, Fli
Fundamentalism, MT, Csc, Fun
Genetic Engineering, Med, Cor, Gen
Genetic Engineering, Med, Cor, Gen
Genetic Engineering, Med, Cor, Gen
Guerrilla Warfare, Cmn, Tac, Gue
Gunpowder, Inv, Iro, Gun
Gunpowder, Inv, Iro, Gun
Gunpowder, Inv, Iro, Gun
Industrialization, RR, Ban, Ind
Industrialization, RR, Ban, Ind
Industrialization, RR, Ban, Ind
Invention, Eng, Lit, Inv
Magnetism, Phy, Iro, Mag
Magnetism, Phy, Iro, Mag
Medicine, Phi, Tra, Med
Medicine, Phi, Tra, Med
Metallurgy, Gun, Uni, Met
Monotheism, Phi, PT, MT
Monotheism, Phi, PT, MT
Physics, Nav, Lit, Phy
Physics, Nav, Lit, Phy
Railroad, SE, Bri, RR
Refrigeration, E1, San, Rfg
Sanitation, Med, Eng, San
Sanitation, Med, Eng, San
Sanitation, Med, Eng, San
Sanitation, Med, Eng, San
Steam Engine, Phy, Inv, SE
Steam Engine, Phy, Inv, SE
Steam Engine, Phy, Inv, SE
Steam Engine, Phy, Inv, SE
Steam Engine, Phy, Inv, SE
Theology, MT, Feu, The
Theology, MT, Feu, The
Theory of Gravity, Ast, Uni, ToG
University, Mat, Phi, Uni
University, Mat, Phi, Uni

